dialogue_id,turn_id,speaker,text,emotion,emotion_ring,scenario,sarcasm_flag,emotion_cause,sentiment_polarity,utterance_word_count,inter_annotator_agreement,confidence_score,topic,emotion_shift,input_ids,attention_mask,split
D0002,3,Director,Your team shipped three products under budget and ahead of every scheduled milestone. 🌟,admiration,intense,workplace,False,exceptional delivery recognised publicly,positive,14,0.92,0.81,bonus,True,"[101, 2115, 2136, 12057, 2093, 3688, 2104, 5166, 1998, 3805, 1997, 2296, 5115, 19199, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0002,4,Junior_Dev,Does that include contractors or only full-time employees in this cycle. 🎯,interest,mild,workplace,False,seeking clarity on bonus eligibility,positive,12,0.72,0.6,bonus,True,"[101, 2515, 2008, 2421, 16728, 2030, 2069, 2440, 1011, 2051, 5126, 1999, 2023, 5402, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0002,5,Director,Full-time only this cycle but we are actively advocating for contractor inclusion next year. 🙏,trust,primary,workplace,False,honest disclosure about contractor exclusion,positive,15,0.85,0.8,bonus,True,"[101, 2440, 1011, 2051, 2069, 2023, 5402, 2021, 2057, 2024, 8851, 20324, 2005, 13666, 10502, 2279, 2095, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0002,6,Senior_Dev,This kind of recognition is exactly what makes people genuinely want to stay here. 🙌,joy,primary,workplace,False,recognition reinforcing retention decision,positive,15,0.9,0.87,bonus,True,"[101, 2023, 2785, 1997, 5038, 2003, 3599, 2054, 3084, 2111, 15958, 2215, 2000, 2994, 2182, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0002,7,Junior_Dev,I have been underpaid for two years but I will take this as a meaningful starting point. 🌅,optimism,dyadic,workplace,False,bonus signals better future ahead,positive,18,0.8,0.69,bonus,True,"[101, 1045, 2031, 2042, 2104, 4502, 3593, 2005, 2048, 2086, 2021, 1045, 2097, 2202, 2023, 2004, 1037, 15902, 3225, 2391, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0003,1,HR_Manager,Several colleagues have independently reported identical patterns of behaviour from the director.,vigilance,intense,workplace,False,multiple corroborating harassment reports received,positive,12,0.82,0.78,harassment,False,"[101, 2195, 8628, 2031, 9174, 2988, 7235, 7060, 1997, 9164, 2013, 1996, 2472, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0003,2,Employee_A,I reported this exact issue three months ago and was told to work it out directly with him. 🧨,rage,intense,workplace,False,previous report dismissed without action,negative,19,0.93,0.84,harassment,True,"[101, 1045, 2988, 2023, 6635, 3277, 2093, 2706, 3283, 1998, 2001, 2409, 2000, 2147, 2009, 2041, 3495, 2007, 2032, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0003,3,HR_Manager,That response was completely wrong and I apologise unreservedly on behalf of this organisation. 🙏,remorse,dyadic,workplace,False,HR acknowledges prior institutional failure,negative,15,0.82,0.78,harassment,True,"[101, 2008, 3433, 2001, 3294, 3308, 1998, 1045, 9706, 12898, 17701, 2063, 4895, 6072, 25944, 2135, 2006, 6852, 1997, 2023, 5502, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0003,4,Employee_B,What actually happens now because that man still walks into this building every single morning. 😰,fear,primary,workplace,False,harasser continuing normal access to workplace,negative,16,0.88,0.85,harassment,True,"[101, 2054, 2941, 6433, 2085, 2138, 2008, 2158, 2145, 7365, 2046, 2023, 2311, 2296, 2309, 2851, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",test
D0003,5,HR_Manager,He is suspended pending a full independent investigation that begins today without exception. ✅,trust,primary,workplace,False,immediate protective action taken,positive,14,0.85,0.81,harassment,True,"[101, 2002, 2003, 6731, 14223, 1037, 2440, 2981, 4812, 2008, 4269, 2651, 2302, 6453, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",test
D0003,6,Employee_A,I have watched other women leave this company because of him and I said nothing each time. 🕯️,grief,intense,workplace,False,guilt over silence while others suffered and left,negative,18,0.95,0.81,harassment,True,"[101, 1045, 2031, 3427, 2060, 2308, 2681, 2023, 2194, 2138, 1997, 2032, 1998, 1045, 2056, 2498, 2169, 2051, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",test
D0003,7,HR_Manager,Your speaking up today has protected people who do not yet know they were at risk.,admiration,intense,workplace,False,courage in reporting acknowledged directly,positive,16,0.92,0.85,harassment,True,"[101, 2115, 4092, 2039, 2651, 2038, 5123, 2111, 2040, 2079, 2025, 2664, 2113, 2027, 2020, 2012, 3891, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",val
D0004,1,Employee_A,I discovered that every male peer in my salary band earns fifteen percent more than I do. 💥,rage,intense,workplace,False,gender pay gap personally discovered,negative,18,0.93,0.88,underpayment,False,"[101, 1045, 3603, 2008, 2296, 3287, 8152, 1999, 2026, 10300, 2316, 7796, 2015, 5417, 3867, 2062, 2084, 1045, 2079, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0004,2,Employee_B,That is not a rounding error or an oversight — that is a deliberate structural policy. 😏,contempt,dyadic,workplace,False,pay gap identified as intentional practice,negative,17,0.75,0.74,underpayment,True,"[101, 2008, 2003, 2025, 1037, 26939, 7561, 2030, 2019, 15709, 1517, 2008, 2003, 1037, 15063, 8332, 3343, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0004,3,Employee_A,HR told me pay is based on negotiation history and individual performance calibration scores.,disgust,primary,workplace,False,HR explanation felt like deliberate misdirection,negative,14,0.87,0.87,underpayment,True,"[101, 17850, 2409, 2033, 3477, 2003, 2241, 2006, 19905, 2381, 1998, 3265, 2836, 10250, 12322, 8156, 7644, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0004,4,Employee_B,Translation — they rewarded whoever negotiated hardest and called that meritocracy. 💅,contempt,dyadic,workplace,True,satirising hollow meritocracy framing,negative,12,0.75,0.7,underpayment,True,"[101, 5449, 1517, 2027, 14610, 9444, 13630, 18263, 1998, 2170, 2008, 7857, 10085, 22648, 2100, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0004,5,Employee_A,I have the highest performance rating in this team for three consecutive annual cycles. 🔥,anger,primary,workplace,False,strong performance not reflected in compensation,negative,15,0.88,0.84,underpayment,True,"[101, 1045, 2031, 1996, 3284, 2836, 5790, 1999, 2023, 2136, 2005, 2093, 5486, 3296, 12709, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
D0004,6,Employee_B,Document every data point and get an employment lawyer to review before you escalate formally. 🚨,vigilance,intense,workplace,False,strategic advice to build strongest possible case,positive,16,0.82,0.75,underpayment,True,"[101, 6254, 2296, 2951, 2391, 1998, 2131, 2019, 6107, 5160, 2000, 3319, 2077, 2017, 9686, 25015, 2618, 6246, 1012, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
