text,emotion_code,scenario,speaker_role,sarcasm,ring_level,iaa_score,emotion_cause,conversation_id,turn_number,timestamp
SEEING RED!,rage,customer_service,agent,0,3,0.8,Reaction to education,conv_8035,6,2026-05-02T06:19:00.048696
HEARTBROKEN.,grie,healthcare,partner,0,3,0.669,Reaction to customer_service,conv_7604,1,2026-05-02T06:19:00.047956
This is amazing!,subm,romance,user,0,1,0.666,Reaction to healthcare,conv_5784,8,2026-05-02T06:19:00.049717
So happy about this!,aggr,romance,partner,0,1,0.758,Reaction to family,conv_5715,3,2026-05-02T06:19:00.051183
Best day ever!,bore,online_debate,friend,0,1,0.664,Reaction to customer_service,conv_5141,4,2026-05-02T06:19:00.031928
Drowning in sorrow.,grie,education,partner,0,3,0.679,Reaction to online_debate,conv_2710,12,2026-05-02T06:19:00.047871
So happy about this!,ange,online_debate,friend,0,2,0.763,Reaction to online_debate,conv_6350,7,2026-05-02T06:19:00.045957
So happy about this!,aggr,education,agent,0,1,0.625,Reaction to family,conv_7446,10,2026-05-02T06:19:00.051378
This is amazing!,pens,romance,user,0,1,0.61,Reaction to romance,conv_4207,12,2026-05-02T06:19:00.031328
ABSOLUTELY TERRIFIED!,terr,customer_service,friend,0,3,0.925,Reaction to friendship,conv_5679,7,2026-05-02T06:19:00.047111
This is amazing!,remo,romance,partner,0,1,0.583,Reaction to online_debate,conv_4457,12,2026-05-02T06:19:00.050724
So happy about this!,sere,customer_service,friend,0,1,0.564,Reaction to romance,conv_2867,1,2026-05-02T06:19:00.030436
This is amazing!,inte,workplace,agent,0,1,0.778,Reaction to family,conv_1076,2,2026-05-02T06:19:00.032240
Afraid of consequences.,fear,healthcare,stranger,0,2,0.734,Reaction to friendship,conv_9059,3,2026-05-02T06:19:00.044633
This is amazing!,subm,customer_service,agent,0,1,0.641,Reaction to workplace,conv_8866,5,2026-05-02T06:19:00.049544
Drowning in sorrow.,grie,friendship,agent,0,3,0.936,Reaction to friendship,conv_7519,7,2026-05-02T06:19:00.047729
This is amazing!,admi,workplace,agent,0,3,0.664,Reaction to family,conv_9912,6,2026-05-02T06:19:00.046928
Best day ever!,disa,friendship,partner,0,1,0.631,Reaction to friendship,conv_9482,11,2026-05-02T06:19:00.050177
So happy about this!,inte,education,user,0,1,0.762,Reaction to customer_service,conv_4551,3,2026-05-02T06:19:00.032126
MIND-BLOWING!,amaz,healthcare,friend,0,3,0.859,Reaction to romance,conv_6546,5,2026-05-02T06:19:00.047463
Best day ever!,subm,friendship,partner,0,1,0.762,Reaction to online_debate,conv_6055,4,2026-05-02T06:19:00.049686
Best day ever!,acce,customer_service,agent,0,1,0.612,Reaction to romance,conv_5090,3,2026-05-02T06:19:00.030888
COMPLETELY STUNNED!,amaz,family,stranger,0,3,0.686,Reaction to family,conv_8504,9,2026-05-02T06:19:00.047375
So happy about this!,sere,friendship,friend,0,1,0.763,Reaction to customer_service,conv_9269,3,2026-05-02T06:19:00.030328
What a surprise!,supr,friendship,user,0,2,0.729,Reaction to education,conv_7392,12,2026-05-02T06:19:00.051782
SEEING RED!,rage,online_debate,partner,0,3,0.685,Reaction to romance,conv_7980,4,2026-05-02T06:19:00.048555
Overwhelmed.,awe,education,partner,0,1,0.717,Reaction to friendship,conv_7985,1,2026-05-02T06:19:00.050006
OVER THE MOON!,ecst,education,stranger,0,3,0.848,Reaction to friendship,conv_1342,3,2026-05-02T06:19:00.046647
Best day ever!,admi,romance,agent,0,3,0.92,Reaction to friendship,conv_8688,7,2026-05-02T06:19:00.046770
COMPLETELY STUNNED!,amaz,education,agent,0,3,0.898,Reaction to workplace,conv_4097,11,2026-05-02T06:19:00.047556
So happy about this!,surp,healthcare,partner,0,2,0.756,Reaction to friendship,conv_4762,9,2026-05-02T06:19:00.044855
Best day ever!,surp,family,user,0,2,0.933,Reaction to family,conv_7747,4,2026-05-02T06:19:00.044965
This is amazing!,appr,healthcare,stranger,0,2,0.832,Reaction to workplace,conv_2275,10,2026-05-02T06:19:00.046286
This is amazing!,bore,customer_service,friend,0,1,0.61,Reaction to customer_service,conv_9661,5,2026-05-02T06:19:00.031780
This is amazing!,sadn,online_debate,stranger,0,2,0.915,Reaction to customer_service,conv_8359,7,2026-05-02T06:19:00.045110
OVER THE MOON!,ecst,friendship,stranger,0,3,0.852,Reaction to customer_service,conv_2886,8,2026-05-02T06:19:00.046494
This is amazing!,acce,customer_service,stranger,0,1,0.727,Reaction to workplace,conv_5889,11,2026-05-02T06:19:00.030756
ABSOLUTELY FURIOUS!,rage,customer_service,agent,0,3,0.764,Reaction to education,conv_3792,10,2026-05-02T06:19:00.048625
This is amazing!,disa,workplace,stranger,0,1,0.769,Reaction to family,conv_8188,1,2026-05-02T06:19:00.050267
Best day ever!,trus,friendship,partner,0,2,0.94,Reaction to workplace,conv_8396,10,2026-05-02T06:19:00.043931
This is amazing!,anno,family,user,0,1,0.56,Reaction to online_debate,conv_5394,4,2026-05-02T06:19:00.032508
So happy about this!,cont,romance,agent,0,1,0.716,Reaction to online_debate,conv_5523,12,2026-05-02T06:19:00.050984
Best day ever!,aggr,healthcare,agent,0,1,0.655,Reaction to online_debate,conv_1005,12,2026-05-02T06:19:00.051402
Care deeply.,love,customer_service,agent,0,1,0.643,Reaction to family,conv_6298,12,2026-05-02T06:19:00.049247
Best day ever!,opti,customer_service,partner,0,1,0.633,Reaction to education,conv_4668,3,2026-05-02T06:19:00.043395
This is amazing!,admi,friendship,user,0,3,0.811,Reaction to education,conv_4980,5,2026-05-02T06:19:00.046985
Best day ever!,pens,workplace,partner,0,1,0.615,Reaction to healthcare,conv_9470,12,2026-05-02T06:19:00.031393
This makes me nervous.,fear,healthcare,friend,0,2,0.789,Reaction to education,conv_5737,12,2026-05-02T06:19:00.044289
I'm worried something might go wrong.,fear,romance,user,0,2,0.745,Reaction to customer_service,conv_4913,9,2026-05-02T06:19:00.044428
NIGHTMARE COME TRUE!,terr,healthcare,friend,0,3,0.726,Reaction to online_debate,conv_5876,1,2026-05-02T06:19:00.047346
Best day ever!,sadn,workplace,partner,0,2,0.884,Reaction to friendship,conv_8489,5,2026-05-02T06:19:00.045095
This is amazing!,appr,family,partner,0,2,0.892,Reaction to customer_service,conv_9006,1,2026-05-02T06:19:00.046190
"Oh great, another meeting.",joy,romance,stranger,1,2,0.727,Reaction to family,conv_3648,5,2026-05-02T06:19:00.043699
HEARTBROKEN.,grie,customer_service,stranger,0,3,0.875,Reaction to family,conv_2195,2,2026-05-02T06:19:00.047921
So happy about this!,joy,workplace,friend,0,2,0.87,Reaction to online_debate,conv_1584,10,2026-05-02T06:19:00.043579
So happy about this!,disa,workplace,stranger,0,1,0.646,Reaction to online_debate,conv_5028,7,2026-05-02T06:19:00.050232
What a surprise!,supr,friendship,friend,0,2,0.72,Reaction to friendship,conv_4092,9,2026-05-02T06:19:00.051711
Best day ever!,sadn,customer_service,stranger,0,2,0.939,Reaction to friendship,conv_5445,2,2026-05-02T06:19:00.045015
Best day ever!,trus,family,user,0,2,0.856,Reaction to friendship,conv_8131,5,2026-05-02T06:19:00.043967
So happy about this!,subm,family,friend,0,1,0.707,Reaction to online_debate,conv_5835,9,2026-05-02T06:19:00.049412
Best day ever!,bore,healthcare,stranger,0,1,0.608,Reaction to family,conv_4892,5,2026-05-02T06:19:00.031904
This is amazing!,pens,education,stranger,0,1,0.582,Reaction to family,conv_6662,5,2026-05-02T06:19:00.031399
This is amazing!,inte,workplace,agent,0,1,0.694,Reaction to workplace,conv_3481,5,2026-05-02T06:19:00.032153
BLIND RAGE!,rage,workplace,user,0,3,0.919,Reaction to friendship,conv_5972,3,2026-05-02T06:19:00.048631
Best day ever!,sere,online_debate,stranger,0,1,0.774,Reaction to romance,conv_6382,7,2026-05-02T06:19:00.030578
This is amazing!,dist,friendship,agent,0,1,0.734,Reaction to romance,conv_6787,6,2026-05-02T06:19:00.031045
This is amazing!,opti,healthcare,agent,0,1,0.634,Reaction to workplace,conv_7298,5,2026-05-02T06:19:00.043401
HEARTBROKEN.,grie,romance,friend,0,3,0.878,Reaction to family,conv_3049,12,2026-05-02T06:19:00.047799
Best day ever!,appr,workplace,partner,0,2,0.736,Reaction to romance,conv_5970,2,2026-05-02T06:19:00.046119
Best day ever!,admi,friendship,partner,0,3,0.916,Reaction to healthcare,conv_1937,12,2026-05-02T06:19:00.046933
So happy about this!,inte,customer_service,friend,0,1,0.599,Reaction to friendship,conv_8749,2,2026-05-02T06:19:00.032252
BLIND RAGE!,rage,family,stranger,0,3,0.898,Reaction to healthcare,conv_7190,10,2026-05-02T06:19:00.048414
So happy about this!,sadn,healthcare,agent,0,2,0.915,Reaction to healthcare,conv_8932,3,2026-05-02T06:19:00.045230
Best day ever!,appr,friendship,agent,0,2,0.891,Reaction to family,conv_1939,6,2026-05-02T06:19:00.046070
Afraid of consequences.,fear,education,friend,0,2,0.917,Reaction to customer_service,conv_1882,5,2026-05-02T06:19:00.044507
BLIND RAGE!,rage,education,friend,0,3,0.683,Reaction to friendship,conv_2370,10,2026-05-02T06:19:00.048483
HYPERVIGILANT.,vigi,online_debate,partner,0,3,0.942,Reaction to online_debate,conv_2143,10,2026-05-02T06:19:00.048790
So happy about this!,cont,customer_service,partner,0,1,0.562,Reaction to online_debate,conv_3383,5,2026-05-02T06:19:00.050954
OVER THE MOON!,ecst,friendship,partner,0,3,0.799,Reaction to friendship,conv_2348,7,2026-05-02T06:19:00.046425
HEARTBROKEN.,grie,online_debate,stranger,0,3,0.871,Reaction to online_debate,conv_2813,12,2026-05-02T06:19:00.047735
This is amazing!,sere,workplace,agent,0,1,0.563,Reaction to online_debate,conv_8141,7,2026-05-02T06:19:00.030366
Best day ever!,dist,healthcare,friend,0,1,0.616,Reaction to education,conv_3781,6,2026-05-02T06:19:00.031057
ABSOLUTELY TERRIFIED!,terr,workplace,user,0,3,0.835,Reaction to online_debate,conv_8922,9,2026-05-02T06:19:00.047175
This is amazing!,disg,customer_service,partner,0,2,0.931,Reaction to healthcare,conv_9608,8,2026-05-02T06:19:00.045572
This is amazing!,surp,online_debate,partner,0,2,0.8,Reaction to healthcare,conv_6351,12,2026-05-02T06:19:00.044934
So happy about this!,appr,customer_service,partner,0,2,0.898,Reaction to online_debate,conv_9006,7,2026-05-02T06:19:00.046298
Best day ever!,dist,education,partner,0,1,0.784,Reaction to friendship,conv_1198,1,2026-05-02T06:19:00.031244
"Oh great, another meeting.",joy,family,agent,1,2,0.858,Reaction to family,conv_3165,11,2026-05-02T06:19:00.043753
Unexpected!,supr,customer_service,stranger,0,2,0.858,Reaction to online_debate,conv_6645,5,2026-05-02T06:19:00.051529
This is amazing!,aggr,healthcare,friend,0,1,0.615,Reaction to workplace,conv_1020,6,2026-05-02T06:19:00.051365
So happy about this!,subm,friendship,partner,0,1,0.635,Reaction to customer_service,conv_8302,11,2026-05-02T06:19:00.049503
Scanning for threats.,vigi,customer_service,stranger,0,3,0.693,Reaction to customer_service,conv_6601,3,2026-05-02T06:19:00.048998
So happy about this!,acce,romance,stranger,0,1,0.789,Reaction to workplace,conv_9986,1,2026-05-02T06:19:00.030666
So happy about this!,bore,friendship,agent,0,1,0.659,Reaction to workplace,conv_8200,12,2026-05-02T06:19:00.031792
Best day ever!,sadn,education,partner,0,2,0.752,Reaction to romance,conv_1731,3,2026-05-02T06:19:00.044996
Scanning for threats.,vigi,family,stranger,0,3,0.815,Reaction to education,conv_6529,3,2026-05-02T06:19:00.048929
Best day ever!,pens,family,user,0,1,0.726,Reaction to online_debate,conv_4732,10,2026-05-02T06:19:00.031583
So happy about this!,sere,friendship,stranger,0,1,0.656,Reaction to online_debate,conv_1130,2,2026-05-02T06:19:00.030322
So happy about this!,bore,romance,stranger,0,1,0.596,Reaction to education,conv_8298,4,2026-05-02T06:19:00.031951
This is amazing!,trus,online_debate,agent,0,2,0.691,Reaction to online_debate,conv_8543,1,2026-05-02T06:19:00.044092
So happy about this!,remo,workplace,friend,0,1,0.745,Reaction to romance,conv_6694,2,2026-05-02T06:19:00.050461
HEARTBROKEN.,grie,healthcare,agent,0,3,0.924,Reaction to healthcare,conv_4692,2,2026-05-02T06:19:00.048001
So happy about this!,subm,family,friend,0,1,0.592,Reaction to workplace,conv_9929,11,2026-05-02T06:19:00.049680
Best day ever!,admi,online_debate,agent,0,3,0.854,Reaction to healthcare,conv_7344,6,2026-05-02T06:19:00.046911
So happy about this!,surp,education,user,0,2,0.744,Reaction to friendship,conv_5511,9,2026-05-02T06:19:00.044743
So happy about this!,trus,workplace,user,0,2,0.685,Reaction to healthcare,conv_4794,9,2026-05-02T06:19:00.044015
So happy about this!,remo,friendship,agent,0,1,0.63,Reaction to workplace,conv_8164,9,2026-05-02T06:19:00.050592
This is amazing!,dist,family,stranger,0,1,0.706,Reaction to romance,conv_3376,7,2026-05-02T06:19:00.031068
Best day ever!,disg,family,agent,0,2,0.751,Reaction to education,conv_9091,6,2026-05-02T06:19:00.045483
Best day ever!,opti,family,partner,0,1,0.734,Reaction to education,conv_7394,9,2026-05-02T06:19:00.043330
Best day ever!,subm,friendship,partner,0,1,0.778,Reaction to online_debate,conv_4371,11,2026-05-02T06:19:00.049393
So happy about this!,aggr,workplace,stranger,0,1,0.733,Reaction to customer_service,conv_5092,6,2026-05-02T06:19:00.051371
HATE EVERY FIBER!,loat,education,partner,0,3,0.783,Reaction to family,conv_8018,2,2026-05-02T06:19:00.048191
This makes me nervous.,fear,education,user,0,2,0.737,Reaction to healthcare,conv_4965,12,2026-05-02T06:19:00.044602
Best day ever!,aggr,family,friend,0,1,0.795,Reaction to romance,conv_3686,5,2026-05-02T06:19:00.051189
This is amazing!,sere,workplace,partner,0,1,0.757,Reaction to healthcare,conv_6149,4,2026-05-02T06:19:00.030372
Best day ever!,disa,friendship,user,0,1,0.725,Reaction to customer_service,conv_3844,6,2026-05-02T06:19:00.050285
Best day ever!,dist,customer_service,agent,0,1,0.702,Reaction to romance,conv_9552,5,2026-05-02T06:19:00.031238
ABSOLUTELY DESPISE THIS!,loat,family,stranger,0,3,0.747,Reaction to education,conv_6481,12,2026-05-02T06:19:00.048264
Overwhelmed.,awe,family,stranger,0,1,0.599,Reaction to family,conv_3974,12,2026-05-02T06:19:00.049900
REVOLTED!,loat,romance,agent,0,3,0.86,Reaction to romance,conv_4092,2,2026-05-02T06:19:00.048163
So happy about this!,joy,online_debate,stranger,0,2,0.721,Reaction to education,conv_7826,5,2026-05-02T06:19:00.043668
ABSOLUTELY FURIOUS!,rage,customer_service,agent,0,3,0.837,Reaction to healthcare,conv_8590,12,2026-05-02T06:19:00.048660
What a surprise!,supr,friendship,friend,0,2,0.883,Reaction to family,conv_4549,11,2026-05-02T06:19:00.051620
On high alert.,vigi,family,partner,0,3,0.917,Reaction to romance,conv_8515,7,2026-05-02T06:19:00.048784
This is amazing!,surp,education,user,0,2,0.705,Reaction to family,conv_5310,9,2026-05-02T06:19:00.044874
Best day ever!,trus,online_debate,user,0,2,0.832,Reaction to customer_service,conv_6001,2,2026-05-02T06:19:00.043937
This is amazing!,ange,education,agent,0,2,0.701,Reaction to customer_service,conv_6066,10,2026-05-02T06:19:00.045779
So happy about this!,disg,online_debate,agent,0,2,0.933,Reaction to family,conv_1414,12,2026-05-02T06:19:00.045405
Best day ever!,sadn,family,user,0,2,0.772,Reaction to healthcare,conv_5479,2,2026-05-02T06:19:00.045224
This is amazing!,opti,healthcare,stranger,0,1,0.678,Reaction to education,conv_1822,4,2026-05-02T06:19:00.032785
This is amazing!,cont,family,friend,0,1,0.571,Reaction to education,conv_8814,1,2026-05-02T06:19:00.050919
Best day ever!,ange,friendship,agent,0,2,0.7,Reaction to healthcare,conv_6493,12,2026-05-02T06:19:00.046022
So happy about this!,remo,online_debate,agent,0,1,0.699,Reaction to friendship,conv_2650,11,2026-05-02T06:19:00.050737
This is amazing!,disa,customer_service,user,0,1,0.598,Reaction to family,conv_7089,11,2026-05-02T06:19:00.050066
Best day ever!,cont,education,partner,0,1,0.658,Reaction to friendship,conv_4373,1,2026-05-02T06:19:00.050875
Best day ever!,inte,friendship,stranger,0,1,0.746,Reaction to education,conv_1047,5,2026-05-02T06:19:00.032101
This is amazing!,disg,family,stranger,0,2,0.904,Reaction to healthcare,conv_9778,6,2026-05-02T06:19:00.045434
ABSOLUTELY DESPISE THIS!,loat,online_debate,user,0,3,0.825,Reaction to romance,conv_8489,8,2026-05-02T06:19:00.048352
This is amazing!,anno,friendship,user,0,1,0.558,Reaction to healthcare,conv_5127,3,2026-05-02T06:19:00.032459
So happy about this!,anno,romance,user,0,1,0.606,Reaction to healthcare,conv_1590,2,2026-05-02T06:19:00.032429
REVOLTED!,loat,customer_service,friend,0,3,0.821,Reaction to family,conv_4036,11,2026-05-02T06:19:00.048300
Best day ever!,remo,family,user,0,1,0.664,Reaction to customer_service,conv_4776,5,2026-05-02T06:19:00.050620
This is amazing!,subm,workplace,stranger,0,1,0.562,Reaction to workplace,conv_9594,11,2026-05-02T06:19:00.049479
Best day ever!,acce,romance,partner,0,1,0.64,Reaction to education,conv_5675,7,2026-05-02T06:19:00.030920
So happy about this!,disg,family,agent,0,2,0.845,Reaction to online_debate,conv_3500,9,2026-05-02T06:19:00.045589
On high alert.,vigi,workplace,stranger,0,3,0.941,Reaction to workplace,conv_8442,12,2026-05-02T06:19:00.048824
So happy about this!,pens,friendship,partner,0,1,0.566,Reaction to customer_service,conv_8913,8,2026-05-02T06:19:00.031614
This is amazing!,dist,online_debate,partner,0,1,0.792,Reaction to romance,conv_9572,1,2026-05-02T06:19:00.030975
Best day ever!,admi,healthcare,user,0,3,0.823,Reaction to workplace,conv_6296,11,2026-05-02T06:19:00.046996
This is amazing!,disg,workplace,stranger,0,2,0.656,Reaction to education,conv_3685,11,2026-05-02T06:19:00.045554
I'm worried something might go wrong.,fear,healthcare,partner,0,2,0.731,Reaction to family,conv_2503,8,2026-05-02T06:19:00.044350
So happy about this!,disg,education,agent,0,2,0.778,Reaction to education,conv_5668,8,2026-05-02T06:19:00.045393
This is amazing!,ange,education,friend,0,2,0.659,Reaction to friendship,conv_1822,12,2026-05-02T06:19:00.045742
So happy about this!,pens,online_debate,partner,0,1,0.71,Reaction to romance,conv_2881,10,2026-05-02T06:19:00.031500
So happy about this!,trus,healthcare,agent,0,2,0.67,Reaction to online_debate,conv_1052,10,2026-05-02T06:19:00.043918
So happy about this!,remo,online_debate,partner,0,1,0.604,Reaction to healthcare,conv_6910,5,2026-05-02T06:19:00.050432
This is amazing!,anno,customer_service,user,0,1,0.623,Reaction to friendship,conv_7035,2,2026-05-02T06:19:00.032442
Best day ever!,dist,romance,user,0,1,0.696,Reaction to online_debate,conv_2953,6,2026-05-02T06:19:00.030980
HYPERVIGILANT.,vigi,education,agent,0,3,0.94,Reaction to healthcare,conv_3474,2,2026-05-02T06:19:00.048737
Scanning for threats.,vigi,healthcare,agent,0,3,0.899,Reaction to workplace,conv_6694,5,2026-05-02T06:19:00.048905
This is amazing!,bore,healthcare,friend,0,1,0.67,Reaction to romance,conv_4970,3,2026-05-02T06:19:00.031815
So happy about this!,dist,friendship,agent,0,1,0.568,Reaction to customer_service,conv_8474,4,2026-05-02T06:19:00.031219
So happy about this!,disg,customer_service,user,0,2,0.85,Reaction to family,conv_8962,6,2026-05-02T06:19:00.045618
Best day ever!,ange,healthcare,partner,0,2,0.716,Reaction to romance,conv_7042,8,2026-05-02T06:19:00.046028
Drowning in sorrow.,grie,customer_service,partner,0,3,0.788,Reaction to education,conv_8846,3,2026-05-02T06:19:00.047781
Best day ever!,surp,friendship,agent,0,2,0.708,Reaction to workplace,conv_9693,8,2026-05-02T06:19:00.044787
So happy about this!,sadn,healthcare,user,0,2,0.887,Reaction to workplace,conv_8895,3,2026-05-02T06:19:00.045068
Best day ever!,aggr,online_debate,stranger,0,1,0.803,Reaction to friendship,conv_1028,6,2026-05-02T06:19:00.051309
Best day ever!,ange,romance,agent,0,2,0.661,Reaction to healthcare,conv_2307,8,2026-05-02T06:19:00.045922
Filled with wonder.,awe,customer_service,partner,0,1,0.577,Reaction to healthcare,conv_3944,1,2026-05-02T06:19:00.049752
Best day ever!,remo,education,user,0,1,0.662,Reaction to healthcare,conv_1521,8,2026-05-02T06:19:00.050656
Best day ever!,aggr,family,agent,0,1,0.572,Reaction to romance,conv_9392,11,2026-05-02T06:19:00.051322
This is amazing!,trus,workplace,friend,0,2,0.767,Reaction to workplace,conv_4656,4,2026-05-02T06:19:00.044117
Care deeply.,love,online_debate,agent,0,1,0.796,Reaction to customer_service,conv_1465,5,2026-05-02T06:19:00.049145
Best day ever!,bore,online_debate,agent,0,1,0.719,Reaction to education,conv_2507,12,2026-05-02T06:19:00.031704
Best day ever!,anno,online_debate,user,0,1,0.787,Reaction to romance,conv_8094,8,2026-05-02T06:19:00.032550
"Oh great, another meeting.",joy,healthcare,stranger,1,2,0.947,Reaction to romance,conv_7491,6,2026-05-02T06:19:00.043827
ASTONISHING!,amaz,friendship,user,0,3,0.669,Reaction to family,conv_7793,2,2026-05-02T06:19:00.047393
So happy about this!,pens,romance,user,0,1,0.758,Reaction to family,conv_9817,3,2026-05-02T06:19:00.031531
Didn't see that coming!,supr,romance,agent,0,2,0.78,Reaction to online_debate,conv_5327,1,2026-05-02T06:19:00.051734
Best day ever!,pens,online_debate,user,0,1,0.807,Reaction to customer_service,conv_8590,11,2026-05-02T06:19:00.031322
So happy about this!,disa,romance,stranger,0,1,0.674,Reaction to family,conv_2806,1,2026-05-02T06:19:00.050146
This is amazing!,opti,online_debate,partner,0,1,0.625,Reaction to healthcare,conv_1512,1,2026-05-02T06:19:00.043479
So happy about this!,dist,education,agent,0,1,0.64,Reaction to workplace,conv_9562,6,2026-05-02T06:19:00.031202
Profoundly moving.,awe,romance,stranger,0,1,0.706,Reaction to education,conv_1010,8,2026-05-02T06:19:00.049918
NIGHTMARE COME TRUE!,terr,workplace,friend,0,3,0.808,Reaction to romance,conv_4007,12,2026-05-02T06:19:00.047306
Best day ever!,disa,online_debate,partner,0,1,0.717,Reaction to healthcare,conv_7743,1,2026-05-02T06:19:00.050279
ABSOLUTELY TERRIFIED!,terr,family,user,0,3,0.781,Reaction to workplace,conv_4854,8,2026-05-02T06:19:00.047187
Filled with wonder.,awe,customer_service,agent,0,1,0.57,Reaction to family,conv_5947,3,2026-05-02T06:19:00.049765
Best day ever!,subm,online_debate,agent,0,1,0.708,Reaction to online_debate,conv_7081,8,2026-05-02T06:19:00.049430
PARALYZED WITH FEAR!,terr,education,agent,0,3,0.76,Reaction to romance,conv_3972,1,2026-05-02T06:19:00.047065
Best day ever!,subm,friendship,agent,0,1,0.634,Reaction to friendship,conv_1185,11,2026-05-02T06:19:00.049568
Filled with wonder.,awe,family,partner,0,1,0.769,Reaction to customer_service,conv_7166,6,2026-05-02T06:19:00.049876
This is amazing!,bore,healthcare,partner,0,1,0.565,Reaction to workplace,conv_1545,3,2026-05-02T06:19:00.031969
Best day ever!,opti,online_debate,user,0,1,0.709,Reaction to family,conv_5973,10,2026-05-02T06:19:00.032834
ABSOLUTELY TERRIFIED!,terr,romance,partner,0,3,0.697,Reaction to friendship,conv_7335,5,2026-05-02T06:19:00.047181
So happy about this!,disg,online_debate,user,0,2,0.789,Reaction to workplace,conv_6409,5,2026-05-02T06:19:00.045675
Best day ever!,inte,customer_service,stranger,0,1,0.576,Reaction to romance,conv_9494,8,2026-05-02T06:19:00.032107
This is amazing!,bore,online_debate,agent,0,1,0.806,Reaction to healthcare,conv_5979,4,2026-05-02T06:19:00.031650
Best day ever!,ange,workplace,friend,0,2,0.86,Reaction to education,conv_8753,11,2026-05-02T06:19:00.045785
ABSOLUTELY TERRIFIED!,terr,romance,stranger,0,3,0.653,Reaction to friendship,conv_4483,6,2026-05-02T06:19:00.047088
So happy about this!,ange,workplace,friend,0,2,0.903,Reaction to family,conv_9284,12,2026-05-02T06:19:00.045755
So happy about this!,appr,romance,partner,0,2,0.897,Reaction to customer_service,conv_1237,1,2026-05-02T06:19:00.046334
BEST DAY OF MY LIFE!,ecst,family,stranger,0,3,0.854,Reaction to online_debate,conv_5727,5,2026-05-02T06:19:00.046624
So happy about this!,aggr,friendship,agent,0,1,0.639,Reaction to education,conv_9832,2,2026-05-02T06:19:00.051209
Best day ever!,sere,healthcare,partner,0,1,0.562,Reaction to family,conv_9222,5,2026-05-02T06:19:00.030590
This is amazing!,sere,online_debate,friend,0,1,0.661,Reaction to online_debate,conv_6765,4,2026-05-02T06:19:00.030239
ABSOLUTELY TERRIFIED!,terr,workplace,partner,0,3,0.914,Reaction to family,conv_9281,4,2026-05-02T06:19:00.047094
So happy about this!,disa,family,agent,0,1,0.672,Reaction to online_debate,conv_8004,1,2026-05-02T06:19:00.050353
On high alert.,vigi,family,stranger,0,3,0.908,Reaction to healthcare,conv_2810,1,2026-05-02T06:19:00.049004
So happy about this!,disg,online_debate,partner,0,2,0.682,Reaction to family,conv_3808,4,2026-05-02T06:19:00.045411
Best day ever!,appr,friendship,agent,0,2,0.826,Reaction to customer_service,conv_9162,12,2026-05-02T06:19:00.046196
Best day ever!,acce,family,partner,0,1,0.613,Reaction to online_debate,conv_5528,5,2026-05-02T06:19:00.030786
This is amazing!,ange,friendship,stranger,0,2,0.919,Reaction to customer_service,conv_2596,10,2026-05-02T06:19:00.045761
This is amazing!,surp,online_debate,stranger,0,2,0.827,Reaction to workplace,conv_9564,8,2026-05-02T06:19:00.044689
